Date,Time,PC0.1,PC0.3,PC0.5,PC1.0,PC2.5,PC5.0,PC10,PM0.1,PM0.3,PM0.5,PM1.0,PM2.5,PM5.0,PM10
05/07/2025,16:02:53,34686,13874,9752,527,23,2,0,0.03174224,0.37455660,1.49002606,1.97290151,2.05955085,2.12398578,2.12398578
05/07/2025,16:02:54,34817,13926,10123,533,24,2,0,0.03186148,0.37596370,1.53389934,2.02168707,2.10871946,2.17315439,2.17315439
05/07/2025,16:02:55,34942,13976,10461,537,24,2,0,0.03197572,0.37731172,1.57393261,2.06608265,2.15413772,2.21965533,2.21965533
05/07/2025,16:02:56,35120,14048,10908,547,25,2,0,0.03213860,0.37923367,1.62698111,2.12840574,2.21888561,2.29207479,2.29207479
05/07/2025,16:02:57,35349,14139,11481,567,26,2,0,0.03234872,0.38171327,1.69505231,2.21438098,2.30856128,2.39155645,2.39155645
05/07/2025,16:02:58,35599,14239,12070,590,26,2,0,0.03257769,0.38441503,1.76503008,2.30533204,2.40219009,2.49393950,2.49393950
05/07/2025,16:02:59,35843,14337,12598,611,27,3,0,0.03280028,0.38704149,1.82811820,2.38787439,2.48703075,2.58642079,2.58642079
05/07/2025,16:03:00,36075,14430,13059,631,27,3,0,0.03301325,0.38955450,1.88335728,2.46111450,2.56180307,2.66883374,2.66883374
05/07/2025,16:03:01,36230,14492,13300,646,27,3,0,0.03315480,0.39122474,1.91252775,2.50382579,2.60451436,2.71482400,2.71482400
05/07/2025,16:03:02,36392,14557,13550,661,28,3,0,0.03330297,0.39297315,1.94295179,2.54824270,2.64944081,2.76302942,2.76302942
05/07/2025,16:03:03,36591,14636,13892,680,28,3,0,0.03348491,0.39512007,1.98419997,2.60652191,2.70835964,2.82414455,2.82414455
05/07/2025,16:03:04,36772,14708,14183,696,28,3,0,0.03365060,0.39707537,2.01937121,2.65642909,2.75864987,2.87335210,2.87335210
05/07/2025,16:03:05,36872,14749,14221,699,27,3,0,0.03374222,0.39815643,2.02482695,2.66527804,2.76532699,2.87783292,2.87783292
05/07/2025,16:03:06,36872,14749,13989,692,26,3,0,0.03374238,0.39815835,1.99833852,2.63222922,2.72908727,2.83831423,2.83831423
05/07/2025,16:03:07,36913,14765,13855,690,26,3,0,0.03378012,0.39860357,1.98347854,2.61562413,2.70980443,2.81466974,2.81466974
05/07/2025,16:03:08,36997,14799,13801,694,25,3,0,0.03385672,0.39950733,1.97816159,2.61328036,2.70554539,2.80601811,2.80601811
05/07/2025,16:03:09,37065,14826,13696,694,24,3,0,0.03391915,0.40024426,1.96687324,2.60273599,2.69231966,2.78843072,2.78843072
05/07/2025,16:03:10,37068,14827,13419,688,23,2,0,0.03392190,0.40027666,1.93528535,2.56558884,2.65223818,2.74290491,2.74290491
05/07/2025,16:03:11,37053,14821,13106,680,23,2,0,0.03390826,0.40011556,1.89921804,2.52218604,2.60717669,2.69236815,2.69236815
05/07/2025,16:03:12,37067,14827,12864,671,23,2,0,0.03392077,0.40026332,1.87170006,2.48584553,2.56917749,2.64889368,2.64889368
05/07/2025,16:03:13,37126,14850,12668,661,22,2,0,0.03397506,0.40090395,1.84997052,2.45568147,2.53748122,2.61175308,2.61175308
05/07/2025,16:03:14,37162,14864,12423,650,22,2,0,0.03400754,0.40128720,1.82234866,2.41736294,2.49737752,2.56728772,2.56728772
05/07/2025,16:03:15,37132,14853,12092,633,21,2,0,0.03398033,0.40096595,1.78410165,2.36360398,2.44170330,2.50722091,2.50722091
05/07/2025,16:03:16,37047,14818,11805,611,21,1,0,0.03390196,0.40004122,1.75038112,2.30981428,2.38599834,2.44715430,2.44715430
05/07/2025,16:03:17,36945,14778,11543,590,20,1,0,0.03380879,0.39894200,1.71934589,2.25932482,2.33372371,2.39051801,2.39051801
05/07/2025,16:03:18,36875,14750,11456,572,20,1,0,0.03374458,0.39818412,1.70858250,2.23240250,2.30539928,2.35891461,2.35891461
05/07/2025,16:03:19,36795,14718,11376,554,19,1,0,0.03367203,0.39732801,1.69864177,2.20630376,2.27840434,2.32972338,2.32972338
05/07/2025,16:03:20,36671,14668,11212,538,20,1,0,0.03355827,0.39598571,1.67854861,2.17166866,2.24479191,2.29938992,2.29938992
05/07/2025,16:03:21,36507,14603,11033,523,20,1,0,0.03340864,0.39422012,1.65626288,2.13542208,2.20931144,2.26502306,2.26502306
05/07/2025,16:03:22,36428,14571,11024,513,20,1,0,0.03333577,0.39336021,1.65439320,2.12427690,2.19969486,2.25757185,2.25757185
05/07/2025,16:03:23,36432,14572,11181,507,21,2,0,0.03333939,0.39340309,1.67235069,2.13654701,2.21362727,2.27586591,2.27586591
05/07/2025,16:03:24,36449,14579,11258,501,21,2,0,0.03335484,0.39358520,1.68136292,2.13987094,2.21873637,2.28425398,2.28425398
05/07/2025,16:03:25,36466,14586,11315,495,22,2,0,0.03337025,0.39376728,1.68802020,2.14151985,2.22204397,2.28975788,2.28975788
05/07/2025,16:03:26,36483,14593,11282,490,22,2,0,0.03338609,0.39395413,1.68442213,2.13333253,2.21538886,2.28638174,2.28638174
05/07/2025,16:04:06,38589,15435,15224,628,21,1,0,0.03531371,0.41669982,2.15815771,2.73319982,2.81104257,2.86236161,2.86236161
05/07/2025,16:04:07,38873,15549,15992,648,22,1,0,0.03557305,0.41976003,2.24900995,2.84205309,2.92168462,2.97519995,2.97519995
05/07/2025,16:04:08,39188,15675,17020,686,22,1,0,0.03586132,0.42316154,2.37005874,2.99871412,3.08153655,3.13613456,3.13613456
05/07/2025,16:04:09,39560,15824,18077,732,23,1,0,0.03620168,0.42717792,2.49491346,3.16551635,3.25191273,3.30762435,3.30762435
05/07/2025,16:04:10,40003,16001,19282,782,26,1,0,0.03660741,0.43196559,2.63752918,3.35343985,3.44762015,3.50549714,3.50549714
05/07/2025,16:04:12,40362,16144,20096,825,28,1,0,0.03693575,0.43583995,2.73453175,3.48999785,3.59196206,3.65203534,3.65203534
05/07/2025,16:04:13,40581,16232,20161,856,29,1,0,0.03713589,0.43820137,2.74434577,3.52786259,3.63505944,3.69513272,3.69513272
05/07/2025,16:04:14,40683,16273,20168,878,30,1,0,0.03722993,0.43931107,2.74624323,3.54986126,3.66011892,3.71799591,3.71799591
05/07/2025,16:04:15,40769,16307,20174,904,31,1,0,0.03730836,0.44023673,2.74779490,3.57532737,3.68915898,3.74703597,3.74703597
05/07/2025,16:04:16,40844,16337,20170,921,31,1,0,0.03737665,0.44104232,2.74824511,3.59183860,3.70567021,3.76246451,3.76246451
05/07/2025,16:04:17,40877,16351,20129,922,31,1,0,0.03740725,0.44140361,2.74388834,3.58812881,3.70017525,3.75805224,3.75805224
05/07/2025,16:04:18,40975,16390,20135,927,32,1,0,0.03749686,0.44246088,2.74558386,3.59431566,3.71095511,3.77211107,3.77211107
05/07/2025,16:04:19,41133,16453,20136,932,33,2,0,0.03764122,0.44416449,2.74743686,3.60108095,3.72295304,3.78738797,3.78738797
05/07/2025,16:04:20,41343,16537,20161,945,35,2,0,0.03783383,0.44643724,2.75251301,3.61762977,3.74511756,3.81283147,3.81283147
05/07/2025,16:04:21,41629,16651,20230,975,37,2,0,0.03809521,0.44952130,2.76356680,3.65595919,3.79084784,3.86292340,3.86292340
05/07/2025,16:04:22,41982,16793,20337,1025,39,2,0,0.03841844,0.45333559,2.77959613,3.71820134,3.86266269,3.93913084,3.93913084
05/07/2025,16:04:23,42304,16921,20421,1076,42,2,0,0.03871310,0.45681243,2.79267460,3.77791266,3.93066745,4.01038364,4.01038364
05/07/2025,16:04:24,42582,17033,20475,1119,44,2,0,0.03896792,0.45981924,2.80182936,3.82649382,3.98728910,4.07248056,4.07248056
05/07/2025,16:04:25,42814,17125,20504,1157,47,2,0,0.03917975,0.46231891,2.80767770,3.86717930,4.03729070,4.12576113,4.12576113
05/07/2025,16:04:26,42882,17153,20442,1178,47,2,0,0.03924213,0.46305489,2.80136496,3.87954569,4.05054968,4.14010279,4.14010279
05/07/2025,16:04:27,42813,17125,20351,1192,47,2,0,0.03917885,0.46230839,2.79017258,3.88134415,4.05132907,4.14088218,4.14088218
05/07/2025,16:04:28,42739,17095,20275,1209,46,2,0,0.03911124,0.46151047,2.78062942,3.88773297,4.05746132,4.14701443,4.14701443
05/07/2025,16:04:29,42603,17041,20165,1210,46,2,0,0.03898624,0.46003564,2.76660017,3.87470576,4.04251885,4.13098928,4.13098928
05/07/2025,16:04:30,42422,16968,19832,1191,45,2,0,0.03882088,0.45808419,2.72654922,3.81707472,3.98093442,4.06720856,4.06720856
05/07/2025,16:04:31,42267,16907,19181,1170,44,2,0,0.03867940,0.45641488,2.65045819,3.72120552,3.88136117,3.96655263,3.96655263
05/07/2025,16:04:32,42144,16857,18635,1157,43,2,0,0.03856703,0.45508879,2.58665078,3.64624939,3.80334424,3.88633941,3.88633941
05/07/2025,16:04:33,42026,16810,18129,1146,42,2,0,0.03845829,0.45380560,2.52751134,3.57651028,3.72964812,3.81264329,3.81264329
05/07/2025,16:04:34,41927,16771,17711,1137,41,2,0,0.03836828,0.45274359,2.47868758,3.51951005,3.67034958,3.75334475,3.75334475
05/07/2025,16:04:35,41860,16744,17395,1131,41,2,0,0.03830704,0.45202095,2.44180434,3.47761753,3.62705494,3.71116372,3.71116372
05/07/2025,16:04:36,41780,16712,17015,1121,40,2,0,0.03823310,0.45114863,2.39745608,3.42376864,3.57103783,3.65514661,3.65514661
05/07/2025,16:04:37,41697,16678,16644,1110,40,2,0,0.03815726,0.45025348,2.35409487,3.37035683,3.51545419,3.59956297,3.59956297
05/07/2025,16:04:38,41614,16645,16246,1099,39,2,0,0.03808121,0.44935637,2.30770204,3.31410740,3.45729311,3.54248457,3.54248457
05/07/2025,16:04:39,41549,16619,15837,1095,39,2,0,0.03802185,0.44865567,2.26024536,3.26241745,3.40623917,3.49251331,3.49251331
05/07/2025,16:04:40,41468,16587,15438,1089,40,2,0,0.03794817,0.44778623,2.21371469,3.21061852,3.35571588,3.44199002,3.44199002
05/07/2025,16:04:41,41357,16543,14970,1079,39,2,0,0.03784692,0.44659168,2.15895382,3.14635702,3.28826348,3.37017597,3.37017597
05/07/2025,16:04:42,41247,16499,14540,1069,39,2,0,0.03774603,0.44540099,2.10856736,3.08769710,3.22871097,3.30954078,3.30954078
05/07/2025,16:04:43,41114,16445,14086,1059,39,2,0,0.03762410,0.44396238,2.05524282,3.02464590,3.16604283,3.24575902,3.24575902
05/07/2025,16:04:44,40982,16393,13666,1047,39,2,0,0.03750339,0.44253809,2.00571741,2.96387385,3.10527078,3.18498697,3.18498697
05/07/2025,16:04:45,40894,16357,13472,1039,39,2,0,0.03742244,0.44158286,1.98264651,2.93391952,3.07684866,3.15656485,3.15656485
05/07/2025,16:04:46,40784,16313,13253,1030,39,2,0,0.03732187,0.44039597,1.95639929,2.89946381,3.04303257,3.12274876,3.12274876
05/07/2025,16:04:47,40597,16238,12886,1007,39,2,0,0.03715082,0.43837774,1.91241989,2.83431711,2.97533098,3.05504717,3.05504717
05/07/2025,16:04:48,40385,16154,12473,976,37,2,0,0.03695701,0.43609070,1.86278711,2.75650458,2.89254239,2.97009322,2.97009322
05/07/2025,16:04:49,40174,16069,12088,947,36,2,0,0.03676415,0.43381505,1.81653063,2.68339250,2.81483729,2.89019183,2.89019183
05/07/2025,16:04:50,39949,15979,11670,915,34,2,0,0.03655807,0.43138313,1.76625208,2.60425519,2.72842560,2.80050116,2.80050116
05/07/2025,16:04:51,39715,15886,11243,883,31,2,0,0.03634419,0.42885962,1.71486818,2.52307546,2.63843928,2.70507051,2.70507051
05/07/2025,16:04:52,39482,15792,10882,852,29,2,0,0.03613019,0.42633424,1.67114101,2.45107062,2.55814099,2.62037963,2.62037963
05/07/2025,16:04:53,39310,15724,10701,835,28,1,0,0.03597362,0.42448667,1.64860367,2.41334528,2.51607560,2.57503527,2.57503527
